GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-3),OrdinalPosition(Player-3 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),OrdinalPosition(PlayerName-3),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-3),PlayerType(PlayerType-2),Winner(PlayerIdx)
1553932502,SushiGo,3,GAME_OVER,100,0,4,2,GroupZOSLAPlayer,29.0,31.0,50.0,26.0,GroupZOSLAPlayer,GroupZOSLAPlayer,mcts,3,GroupZOSLAPlayer,3,2,2,1,1,4,GroupZOSLAPlayer,4,GroupZOSLAPlayer,mcts,GroupZOSLAPlayer,GroupZOSLAPlayer,mcts,GroupZOSLAPlayer,3
-2090749135,SushiGo,3,GAME_OVER,98,0,4,3,mcts,42.0,36.0,39.0,17.0,mcts,random,mcts,1,mcts,1,3,3,2,2,4,mcts,4,random,mcts,mcts,mcts,mcts,random,1
-287790814,SushiGo,3,GAME_OVER,97,0,4,4,random,41.0,26.0,29.0,23.0,GroupZOSLAPlayer,random,random,1,random,1,3,3,2,2,4,GroupZOSLAPlayer,4,random,random,GroupZOSLAPlayer,random,random,random,1
-355989640,SushiGo,3,GAME_OVER,97,0,4,5,mcts,32.0,40.0,28.0,42.0,GroupZOSLAPlayer,mcts,random,3,mcts,3,2,2,4,4,1,GroupZOSLAPlayer,1,mcts,random,GroupZOSLAPlayer,mcts,random,mcts,2
-716867186,SushiGo,3,GAME_OVER,101,0,4,6,random,43.0,17.0,23.0,29.0,GroupZOSLAPlayer,GroupZOSLAPlayer,random,1,random,1,4,4,3,3,2,GroupZOSLAPlayer,2,GroupZOSLAPlayer,random,GroupZOSLAPlayer,random,random,GroupZOSLAPlayer,1
161804169,SushiGo,3,GAME_OVER,98,0,4,7,mcts,27.0,37.0,36.0,15.0,GroupZOSLAPlayer,random,mcts,3,mcts,3,1,1,2,2,4,GroupZOSLAPlayer,4,random,mcts,GroupZOSLAPlayer,mcts,mcts,random,0
1402202751,SushiGo,3,GAME_OVER,98,0,4,8,mcts,18.0,48.0,25.0,17.0,GroupZOSLAPlayer,random,GroupZOSLAPlayer,3,mcts,3,1,1,2,2,4,GroupZOSLAPlayer,4,random,GroupZOSLAPlayer,GroupZOSLAPlayer,mcts,GroupZOSLAPlayer,random,0
535445604,SushiGo,3,GAME_OVER,99,0,4,9,mcts,30.0,56.0,45.0,25.0,GroupZOSLAPlayer,random,mcts,3,mcts,3,1,1,2,2,4,GroupZOSLAPlayer,4,random,mcts,GroupZOSLAPlayer,mcts,mcts,random,0
1011567003,SushiGo,3,GAME_OVER,99,0,4,10,mcts,24.0,65.0,19.0,34.0,random,GroupZOSLAPlayer,random,3,mcts,3,1,1,4,4,2,random,2,GroupZOSLAPlayer,random,random,mcts,random,GroupZOSLAPlayer,0
151766778,SushiGo,3,GAME_OVER,101,0,4,11,mcts,39.0,45.0,26.0,37.0,GroupZOSLAPlayer,GroupZOSLAPlayer,GroupZOSLAPlayer,2,mcts,2,1,1,4,4,3,GroupZOSLAPlayer,3,GroupZOSLAPlayer,GroupZOSLAPlayer,GroupZOSLAPlayer,mcts,GroupZOSLAPlayer,GroupZOSLAPlayer,0
1499439034,SushiGo,3,GAME_OVER,98,0,4,12,random,37.0,34.0,31.0,27.0,random,GroupZOSLAPlayer,random,1,random,1,2,2,3,3,4,random,4,GroupZOSLAPlayer,random,random,random,random,GroupZOSLAPlayer,1
-51321412,SushiGo,3,GAME_OVER,102,0,4,13,mcts,59.0,50.0,44.0,23.0,mcts,random,mcts,1,mcts,1,2,2,3,3,4,mcts,4,random,mcts,mcts,mcts,mcts,random,1
1924478780,SushiGo,3,GAME_OVER,99,0,4,14,mcts,38.0,43.0,40.0,23.0,GroupZOSLAPlayer,random,mcts,3,mcts,3,1,1,2,2,4,GroupZOSLAPlayer,4,random,mcts,GroupZOSLAPlayer,mcts,mcts,random,0
-370025683,SushiGo,3,GAME_OVER,99,0,4,15,GroupZOSLAPlayer,54.0,19.0,28.0,27.0,mcts,random,random,1,GroupZOSLAPlayer,1,4,4,2,2,3,mcts,3,random,random,mcts,GroupZOSLAPlayer,random,random,1
-1554121271,SushiGo,3,GAME_OVER,99,0,4,16,GroupZOSLAPlayer,15.0,22.0,17.0,63.0,GroupZOSLAPlayer,mcts,random,4,GroupZOSLAPlayer,4,2,2,3,3,1,GroupZOSLAPlayer,1,mcts,random,GroupZOSLAPlayer,GroupZOSLAPlayer,random,mcts,2
496460768,SushiGo,3,GAME_OVER,99,0,4,17,mcts,35.0,66.0,20.0,30.0,GroupZOSLAPlayer,random,GroupZOSLAPlayer,2,mcts,2,1,1,4,4,3,GroupZOSLAPlayer,3,random,GroupZOSLAPlayer,GroupZOSLAPlayer,mcts,GroupZOSLAPlayer,random,0
679749574,SushiGo,3,GAME_OVER,98,0,4,18,random,24.0,28.0,32.0,43.0,GroupZOSLAPlayer,mcts,random,4,random,4,3,3,2,2,1,GroupZOSLAPlayer,1,mcts,random,GroupZOSLAPlayer,random,random,mcts,2
-301730690,SushiGo,3,GAME_OVER,97,0,4,19,mcts,71.0,49.0,24.0,27.0,mcts,random,GroupZOSLAPlayer,1,mcts,1,2,2,4,4,3,mcts,3,random,GroupZOSLAPlayer,mcts,mcts,GroupZOSLAPlayer,random,1
-992618231,SushiGo,3,GAME_OVER,97,0,4,20,mcts,23.0,38.0,22.0,49.0,GroupZOSLAPlayer,mcts,GroupZOSLAPlayer,3,mcts,3,2,2,4,4,1,GroupZOSLAPlayer,1,mcts,GroupZOSLAPlayer,GroupZOSLAPlayer,mcts,GroupZOSLAPlayer,mcts,2
1128070351,SushiGo,3,GAME_OVER,101,0,4,21,random,30.0,23.0,16.0,28.0,random,random,GroupZOSLAPlayer,1,random,1,3,3,4,4,2,random,2,random,GroupZOSLAPlayer,random,random,GroupZOSLAPlayer,random,1
-235907694,SushiGo,3,GAME_OVER,97,0,4,22,GroupZOSLAPlayer,70.0,38.0,46.0,14.0,mcts,random,mcts,1,GroupZOSLAPlayer,1,3,3,2,2,4,mcts,4,random,mcts,mcts,GroupZOSLAPlayer,mcts,random,1
621908703,SushiGo,3,GAME_OVER,98,0,4,23,mcts,36.0,49.0,23.0,21.0,GroupZOSLAPlayer,random,random,2,mcts,2,1,1,3,3,4,GroupZOSLAPlayer,4,random,random,GroupZOSLAPlayer,mcts,random,random,0
281685584,SushiGo,3,GAME_OVER,98,0,4,24,mcts,20.0,46.0,30.0,24.0,random,GroupZOSLAPlayer,mcts,4,mcts,4,1,1,2,2,3,random,3,GroupZOSLAPlayer,mcts,random,mcts,mcts,GroupZOSLAPlayer,0
-1811800664,SushiGo,3,GAME_OVER,100,0,4,25,mcts,22.0,41.0,28.0,16.0,GroupZOSLAPlayer,random,GroupZOSLAPlayer,3,mcts,3,1,1,2,2,4,GroupZOSLAPlayer,4,random,GroupZOSLAPlayer,GroupZOSLAPlayer,mcts,GroupZOSLAPlayer,random,0
-815050439,SushiGo,3,GAME_OVER,97,0,4,26,mcts,35.0,49.0,11.0,24.0,GroupZOSLAPlayer,random,GroupZOSLAPlayer,2,mcts,2,1,1,4,4,3,GroupZOSLAPlayer,3,random,GroupZOSLAPlayer,GroupZOSLAPlayer,mcts,GroupZOSLAPlayer,random,0
1458317563,SushiGo,3,GAME_OVER,102,0,4,27,mcts,21.0,62.0,29.0,14.0,random,random,GroupZOSLAPlayer,3,mcts,3,1,1,2,2,4,random,4,random,GroupZOSLAPlayer,random,mcts,GroupZOSLAPlayer,random,0
2052630850,SushiGo,3,GAME_OVER,102,0,4,28,random,24.0,26.0,50.0,40.0,GroupZOSLAPlayer,mcts,mcts,4,random,4,3,3,1,1,2,GroupZOSLAPlayer,2,mcts,mcts,GroupZOSLAPlayer,random,mcts,mcts,3
-1121515410,SushiGo,3,GAME_OVER,97,0,4,29,mcts,24.0,47.0,44.0,16.0,random,GroupZOSLAPlayer,mcts,3,mcts,3,1,1,2,2,4,random,4,GroupZOSLAPlayer,mcts,random,mcts,mcts,GroupZOSLAPlayer,0
1428447742,SushiGo,3,GAME_OVER,99,0,4,30,GroupZOSLAPlayer,28.0,27.0,52.0,24.0,GroupZOSLAPlayer,GroupZOSLAPlayer,mcts,2,GroupZOSLAPlayer,2,3,3,1,1,4,GroupZOSLAPlayer,4,GroupZOSLAPlayer,mcts,GroupZOSLAPlayer,GroupZOSLAPlayer,mcts,GroupZOSLAPlayer,3
1214014878,SushiGo,3,GAME_OVER,101,0,4,31,mcts,21.0,52.0,27.0,34.0,random,random,random,4,mcts,4,1,1,3,3,2,random,2,random,random,random,mcts,random,random,0
-1320567837,SushiGo,3,GAME_OVER,96,0,4,32,mcts,39.0,35.0,28.0,31.0,mcts,GroupZOSLAPlayer,GroupZOSLAPlayer,1,mcts,1,2,2,4,4,3,mcts,3,GroupZOSLAPlayer,GroupZOSLAPlayer,mcts,mcts,GroupZOSLAPlayer,GroupZOSLAPlayer,1
-1509632501,SushiGo,3,GAME_OVER,99,0,4,33,random,39.0,21.0,28.0,56.0,mcts,mcts,random,2,random,2,4,4,3,3,1,mcts,1,mcts,random,mcts,random,random,mcts,2
